S(%),H(%),Dry cell weight,lipid(%)
-0.3476340532128601,0.7937340227923199,1.799128192505382,0.341508551
0.5120110321971378,1.563159819519478,1.1719793535990326,13.54468891
-0.33349972701070113,1.2095650131432536,2.1532032885488466,2.427192887
-0.827969433820657,0.3494813559189762,1.456169888944282,3.569049226
-0.45746471911160386,2.0364171716644077,2.224186215088483,4.208456553
-1.6563336333734178,0.8906592273430973,1.889295647957949,11.50799233
-0.5978811400707571,1.4327116118909848,1.8597924455813943,13.12245895
0.4415711114519524,1.6366189219158562,1.9038147819710376,14.88848108
-0.25494994696919443,-0.4149888664401734,-0.36100859341966507,0.232392516
-0.8015544635412122,-0.5231369894126218,-0.19786669951342215,1.33174205
-0.43452540281629654,-0.6566459929742954,-0.333681513059945,0.22163165
-0.17454648480281426,-0.8124550811920137,-0.1508490442139592,1.822245062
-0.3443901094943315,0.3324283500055303,-0.6032420645189435,0.766911726
-1.7555056270541403,-0.6487753748603973,-0.257674050562325,1.898
-0.9259828761733333,-0.29445180754770156,-0.4335091704432914,0.165096233
-2.4318678923672894,-0.7302508475579688,-0.5329668258000289,0.816154811
-2.473112319645721,-0.7473038534714147,-0.6066110472757648,0.88145216
-0.3080115977936928,1.0211074349715883,-0.614342828224822,1.533676534
1.9898591062523854,-0.1541896183363721,-0.11787486043497647,13.674
1.244833364018986,-0.0774268006663334,-0.23080267338456223,9.347
0.8853735083934394,-0.36504445123230467,-0.3950922325853148,5.321
1.0307330785961177,-0.3592143637405297,-0.19032553561046367,10.111
1.1346937541889,-0.5084646035299994,-0.41822202559908533,8.725
-0.10820011192891721,1.782856950806258,-0.9872829625408227,12.859
0.4560916212756528,0.10728980566978821,-0.7440799918813235,1.215
0.749436816146593,-0.4788283244751227,-0.5507081194059035,6.69
0.9755860353811368,-0.9495107222828654,-0.4605699554551799,3.988
0.37128566406269886,-0.8857684314010988,-0.5871035290011013,0.82
0.06125732867763811,0.20552677990621745,-0.706324006226492,1.184
0.7078834449368195,-0.39390338431659777,-0.588634177068189,6.173
0.8472185482336603,-1.445359663458428,-0.959731297333243,13.573
0.23998318037197952,-2.906962597646711,-0.908199479074622,1.587
0.1704701006892302,-0.5151692041455409,-0.6665271564822104,4.241
0.27983734605675586,0.8102040199565874,-0.8269050595115166,1.467
0.958130531794717,-0.24990022326972666,-0.5906750411576394,1.424
1.1771739664611096,-0.05400928354604856,-0.4367598744115926,6.97
