generation,mean_fitness,best_fitness,worst_fitness,std_fitness,diversity,selection_pressure
0,0.010601249911887841,0.3180374973566352,0.0,0.057089477937136174,9.728735632183907,30.0
1,0.0317768830415341,0.40898986580466257,0.0,0.09376482413600976,9.34712643678161,12.87067284950795
2,0.04566186516911489,0.40898986580466257,0.0,0.09915819543552475,8.95632183908046,8.956924214328813
3,0.0721902875345221,0.40898986580466257,0.0,0.1090355351492812,8.082758620689654,5.665441706532609
4,0.08728270882442657,0.40898986580466257,0.0,0.11761687151030213,7.696551724137931,4.6858062875588065
5,0.1851113860142252,0.47688636366056103,0.0,0.1420316470307803,6.022988505747127,2.5762130246483808
6,0.3475922531163438,0.47688636366056103,0.0,0.12425514855460441,3.5448275862068965,1.3719706333643196
7,0.4358248850996273,0.49066208018474333,0.1786579467818139,0.062408035728211304,1.6689655172413793,1.1258239191013164
8,0.4641357938131964,0.49066208018474333,0.21564874425542585,0.04916240527417802,0.6344827586206897,1.057151994578171
9,0.4358724135977441,0.49066208018474333,0.0,0.12301888616116537,1.1172413793103448,1.1257011567553878
10,0.4561961405748525,0.49066208018474333,0.0,0.09401448275728917,1.1356321839080459,1.075550704060013
11,0.4479463194639074,0.49066208018474333,0.0,0.12343536667594066,1.645977011494253,1.0953591063588985
12,0.478556280442253,0.49066208018474333,0.25398185175254673,0.04747690357763564,0.26666666666666666,1.0252965016597482
13,0.46051750677623643,0.49066208018474333,0.0,0.10875340967931539,0.4,1.0654580400635105
14,0.42524046949344413,0.49066208018474333,0.0,0.16679303476280224,0.5241379310344828,1.1538461538461542
15,0.4224811910314867,0.49066208018474333,0.0,0.15525163195535688,0.7862068965517242,1.16138207002019
16,0.46895178574864066,0.49066208018474333,0.0,0.09172723143700388,0.26666666666666666,1.046295365740945
17,0.4584102773158626,0.5044321544878109,0.0,0.12254017098621944,0.3954022988505747,1.1003945143669573
18,0.43770515552352035,0.5044321544878109,0.0,0.12473481134173409,0.9241379310344827,1.1524473681021217
19,0.4717888311731277,0.5044321544878109,0.14454090246809126,0.07404516688704324,0.8919540229885058,1.06919053855835
20,0.4563656531272516,0.5044321544878109,0.22389675438662468,0.08387365961070303,1.264367816091954,1.105324537530778
21,0.4359030913731356,0.5044321544878109,0.1206622058498524,0.1094671627745753,1.8942528735632185,1.1572116933119292
22,0.45929872473609934,0.5044321544878109,0.0,0.12170950761170854,0.7908045977011494,1.0982659592134596
23,0.472069094298164,0.5044321544878109,0.02661180689098854,0.10365510801176825,0.3954022988505747,1.0685557698661925
24,0.4882974864134307,0.5044321544878109,0.1539989203248654,0.06625300515678202,0.4,1.0330427014746484
25,0.5030918966560958,0.5044321544878109,0.4642244195363596,0.00721750930783824,0.13333333333333333,1.0026640417796895
26,0.46844164397265914,0.5044321544878109,0.03698907778938785,0.10872066424618702,0.6574712643678161,1.0768302967471703
27,0.4517356536260265,0.5044321544878109,0.0,0.13807322841794534,0.7816091954022989,1.1166534021363954
28,0.4488175338148396,0.5044321544878109,0.0,0.15216601715004047,0.5287356321839081,1.123913654175363
29,0.45085833743984954,0.5044321544878109,0.0,0.1341020380113374,0.9149425287356322,1.1188262755706693
30,0.49763576334277093,0.5044321544878109,0.33116260298092837,0.0313154284913776,0.4,1.0136573607559605
31,0.5044321544878108,0.5044321544878109,0.5044321544878109,1.1102230246251565e-16,0.0,1.0000000000000002
32,0.4876177493382171,0.5044321544878109,0.0,0.09054834286449315,0.13333333333333333,1.0344827586206897
33,0.471132181205521,0.5044321544878109,0.0,0.10758457944493897,0.4,1.0706807444082524
34,0.4530413194849102,0.5044321544878109,0.0,0.13844131109886093,0.5333333333333333,1.1134352051184426
35,0.465998648888043,0.5044321544878109,0.0,0.12261001445140264,0.3954022988505747,1.0824755730332634
36,0.4925429880838106,0.5044321544878109,0.2138484034497151,0.053093125789081465,0.26666666666666666,1.0241383324737885
